スキル,上昇量
ヒャド・全:S,0.1
ヒャド・全:A,0.07
ヒャド・全:B,0.04
ヒャド・全:C,0.02
ヒャド・全:D,0.01
バギ・全:S,0.1
バギ・全:A,0.07
バギ・全:B,0.04
バギ・全:C,0.02
バギ・全:D,0.01
ドルマ・全:S,0.1
ドルマ・全:A,0.07
ドルマ・全:B,0.04
ドルマ・全:C,0.02
ドルマ・全:D,0.01
ジバリア・全:S,0.1
ジバリア・全:A,0.07
ジバリア・全:B,0.04
ジバリア・全:C,0.02
ジバリア・全:D,0.01
スキルHP回復:S,0.1
スキルHP回復:A,0.07
スキルHP回復:B,0.04
スキルHP回復:C,0.02
スキルHP回復:D,0.01
じゅもんHP回復:S,0.15
じゅもんHP回復:A,0.1
じゅもんHP回復:B,0.07
じゅもんHP回復:C,0.04
じゅもんHP回復:D,0.02
とくぎHP回復:S,0.15
とくぎHP回復:A,0.1
とくぎHP回復:B,0.07
とくぎHP回復:C,0.04
とくぎHP回復:D,0.02
ターンMP回復:S,10.0
ターンMP回復:A,7.0
ターンMP回復:B,4.0
ターンMP回復:C,2.0
ターンMP回復:D,1.0
全状態異常成功率:S,0.0
全状態異常成功率:A,0.0
全状態異常成功率:B,0.1
全状態異常成功率:C,0.06
全状態異常成功率:D,0.03
麻痺成功率:S,0.3
麻痺成功率:A,0.21
麻痺成功率:B,0.14
麻痺成功率:C,0.08
麻痺成功率:D,0.04
守備減成功率:S,0.3
守備減成功率:A,0.21
守備減成功率:B,0.14
守備減成功率:C,0.08
守備減成功率:D,0.04
撃・けもの系:S,0.2
撃・けもの系:A,0.14
撃・けもの系:B,0.1
撃・けもの系:C,0.06
撃・けもの系:D,0.03
撃・鳥系:S,0.2
撃・鳥系:A,0.14
撃・鳥系:B,0.1
撃・鳥系:C,0.06
撃・鳥系:D,0.03
撃・物質系:S,0.2
撃・物質系:A,0.14
撃・物質系:B,0.1
撃・物質系:C,0.06
撃・物質系:D,0.03
撃・マシン系:S,0.2
撃・マシン系:A,0.14
撃・マシン系:B,0.1
撃・マシン系:C,0.06
撃・マシン系:D,0.03
撃・水系:S,0.2
撃・水系:A,0.14
撃・水系:B,0.1
撃・水系:C,0.06
撃・水系:D,0.03
撃・スライム系:S,0.2
撃・スライム系:A,0.14
撃・スライム系:B,0.1
撃・スライム系:C,0.06
撃・スライム系:D,0.03
撃・ゾンビ系:S,0.2
撃・ゾンビ系:A,0.14
撃・ゾンビ系:B,0.1
撃・ゾンビ系:C,0.06
撃・ゾンビ系:D,0.03
撃・悪魔系:S,0.2
撃・悪魔系:A,0.14
撃・悪魔系:B,0.1
撃・悪魔系:C,0.06
撃・悪魔系:D,0.03
撃・ドラゴン系:S,0.2
撃・ドラゴン系:A,0.14
撃・ドラゴン系:B,0.1
撃・ドラゴン系:C,0.06
撃・ドラゴン系:D,0.03
ドルマ・ブレス:S,0.15
ドルマ・ブレス:A,0.1
ドルマ・ブレス:B,0.07
ドルマ・ブレス:C,0.04
ドルマ・ブレス:D,0.02
撃・怪人系:S,0.2
撃・怪人系:A,0.14
撃・怪人系:B,0.1
撃・怪人系:C,0.06
撃・怪人系:D,0.03
撃・植物系:S,0.2
撃・植物系:A,0.14
撃・植物系:B,0.1
撃・植物系:C,0.06
撃・植物系:D,0.03
撃・エレメント系:S,0.2
撃・エレメント系:A,0.14
撃・エレメント系:B,0.1
撃・エレメント系:C,0.06
撃・エレメント系:D,0.03
転び成功率:S,0.3
転び成功率:A,0.21
転び成功率:B,0.14
転び成功率:C,0.08
転び成功率:D,0.04
バギ・ブレス:S,0.15
バギ・ブレス:A,0.1
バギ・ブレス:B,0.07
バギ・ブレス:C,0.04
バギ・ブレス:D,0.02
撃・虫系:S,0.2
撃・虫系:A,0.14
撃・虫系:B,0.1
撃・虫系:C,0.06
撃・虫系:D,0.03
魅了成功率:S,0.3
魅了成功率:A,0.21
魅了成功率:B,0.14
魅了成功率:C,0.08
魅了成功率:D,0.04
ギラ・全:S,0.1
ギラ・全:A,0.07
ギラ・全:B,0.04
ギラ・全:C,0.02
ギラ・全:D,0.01
混乱成功率:S,0.3
混乱成功率:A,0.21
混乱成功率:B,0.14
混乱成功率:C,0.08
混乱成功率:D,0.04
眠り成功率:S,0.3
眠り成功率:A,0.21
眠り成功率:B,0.14
眠り成功率:C,0.08
眠り成功率:D,0.04
ジバリア・ブレス:S,0.15
ジバリア・ブレス:A,0.1
ジバリア・ブレス:B,0.07
ジバリア・ブレス:C,0.04
ジバリア・ブレス:D,0.02
怯え成功率:S,0.3
怯え成功率:A,0.21
怯え成功率:B,0.14
怯え成功率:C,0.08
怯え成功率:D,0.04
